name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedIn_url,email,lat,lng
EnviroFlight,Maysville,KT,USA,local,"Since 2009, EnviroFlight's mission has remained the same: to create the highest-quality Black Soldier Fly larvae on the market. We do this because we are passionate about animals, nutrition, and sustainability. All EnviroProducts are highly palatable, nutritious, and require fewer resources to grow than traditional protein. Whether it's for aquaculture or your pet, we put the same scientific expertise into every product that leaves our facility.",For-Profit,recycling,,,centralized-composting,2009,https://www.enviroflight.net/,,,,info@enviroflight.net,,
Darling Ingredients,Irving,TX,USA,national,"Darling Ingredients Inc develops and manufactures sustainable ingredients for customers in pharmaceutical, food, pet food, fuel, and fertilizer industries. It collects and transforms all aspects of animal by-product streams into ingredients, including gelatin, fats, proteins, pet food ingredients, fertilizers, and other specialty products. In addition, the company recovers and converts used cooking oil and bakery remnants into feed and fuel ingredients. Darling has three primary business segments: feed ingredients (majority of revenue), food ingredients, and fuel ingredients. It provides grease trap services for food businesses, and sells various equipment for collecting and delivering cooking oil. The company derives the majority of its sales from customers in North America.",For-Profit,recycling,,,centralized-composting,1882,https://www.darlingii.com/,,,,info@darlingii.com,,
Kencko,New York City,NY,USA,national,A nutrition startup making direct-to-consumer packets of powdered fruits and vegetabes,For-Profit,prevention,,,value-added-processing,2016,www.kencko.com,,,,hello@kencko.com,,
Black Church Food Security Network,Baltimore,MD,USA,national,"Based in Baltimore but operating nationally, the Black Church Food Security Network aims to support gardening and farming within Black churches. They establish agricultural projects on church land, connect farmers to congregational markets, and create asset maps of Black churches and surrounding neighborhoods to help better use resources. They also operate a small directory and interactive map of faith-based Black farmers across the East Coast, Midwest, and southeastern U.S.",Nonprofit,recovery,,,donation-storage-and-handling,,https://blackchurchfoodsecurity.net/,,,,info@blackchurchfoodsecurity.net,,
Detroit Black Community Food Security Network,Detroit,MI,USA,local,"The Detroit Black Community Food Security Network is working on the ground in Detroit, Michigan, to ensure that the local urban agriculture movement is racially and socially inclusive. It was founded in 2006 to mobilize the Black community to address food insecurity challenges, and the network believes that the most effective movements grow organically within the communities they are designed to benefit. They operate organic urban farm sites, various local food policy initiatives, and a cooperative food-buying program for community residents.",Nonprofit,recovery,,,donation-storage-and-handling,,https://www.dbcfsn.org/,,,,info@dbcfsn.org,,
Family Agriculture Resource Management Services (F.A.R.M.S.),,,USA,national,"Recognizing the systemic challenges and discrimination Black farmers face in the United States, attorney Jillian Hishaw founded Family Agriculture Resource Management Services. F.A.R.M.S. provides legal assistance to farmers with limited resources and helps them retain control and ownership of their land. F.A.R.M.S also helps them access support in other ways, such as grant writing and fundraising. Hishaw also helps tackle food insecurity by linking farmers up with food banks to sell surplus produce at a discounted price.",Nonprofit,recovery,,,donation-storage-and-handling,,https://www.30000acres.org/,,,,info@30000acres.org,,
WhatsGood,North Kingstown,RI,USA,local,"Developer of a cloud based food ordering platform designed to connect chefs with local food purveyors such as farmers, fishermen and local sellers. The company's cloud based food ordering platform offers food, dry goods and other essential cooking ingredients, enabling restaurants and chefs to purchase cooking ingredients.",For-Profit,prevention,,,secondary-resale,2014,https://www.sourcewhatsgood.com/,,,,heliovaldo.araujo@cravefood.services,,
MarinaTex,,,United Kingdom,,MarinaTex is a home compostable material designed as an alternative to single-use plastic films. The material is comprised of waste material from the fishing industry and sustainable algae.,For-Profit,recycling,,,waste-derived-bio-plastics,,https://www.marinatex.co.uk/,,,,,,
Sound Generations,Seattle,WA,USA,local,"Sound Generations is the largest provider of comprehensive services for aging adults and their loved ones in King County. We connect older adults and disabled persons to vital resources in their communities by providing food security, transportation, health and wellness, and assistance services.",Non-Profit,Prevention,,,Improved Inventory Management,1967,https://www.soundgenerations.org,,https://twitter.com/soundgen,https://www.linkedin.com/company/soundgenerations,ravend@soundgenerations.org,40.741895,-73.989308
EggTech Ltd.,Toronto,OH,USA,National,"We have spent ~7 years developing a process that is patented in several different jurisdictions and is capable of utilizing an existing wastestream from a particular type of food processing operation, which would otherwise largely go to landfill, in order to offset our need to mine for raw material and manufacture a highly pure form of calcium that has been tailored for supply into the human ingestible markets - including, but not limited to, nutraceuticals/natural health, food fortification, cosmetics and personal care. The material that we are bringing to market is an eco-friendly and sustainable alternative to the traditional mined resource material that is being used across these sectors currently. Further our EggTech calcium material is superior from a mineral composition and purity perspective. Our calcium has also been shown to be conducive for absorption and uptake in the GI tract, which in turn, emphasizes its relevance to be used for nutritional purposes.",For Profit,Recycling,,,value-added-processing,2014,http://theshellproject.com,,,,mtoman@theshellproject.com,43.6532,79.3832
