name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
11th Hour (App),,,Singapore,Local,"11th Hour app, which allows food and beverage (F&B) businesses to offer last-minute deals to customers. Merchants offer at least a 30 percent discount to draw more customers during lull periods of the day, or to reduce the amount of unsold food that would go to waste. ",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2016,https://www.facebook.com/get11thhour/?ref=page_internal,,,,
222 Million Tons (App),,,USA,National,"No one wants to waste food, but how does one person get through a bunch of celery before it goes limp without getting sick of celery? It was that question which inspired us to develop the 222 million tons platform for the iPad, and to start developing one-week menus and shopping lists that allow single people, couples and small families to enjoy variety in their diets, without wasting fresh food.",Nonprofit,Prevention,Consumer Education,Tools/Applications,,,https://222milliontons.com/app/,https://www.facebook.com/222-million-tons-361897970496133/,,,
412 Food Rescue,Pittsburgh,PA,USA,Local,"412 Food Rescue works with food retailers, wholesalers, restaurants, caterers, universities and other food providers to rescue un-sellable but perfectly good food. We utilize technology to efficiently match donors and beneficiaries, optimize our operations and mobilize our truck as well as our volunteers.",Nonprofit,Recovery,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,Donation Matching Software; Donation Transportation,2014,http://412foodrescue.org/,http://facebook.com/pages/412-Food-Rescue/594095970690194,http://twitter.com/412FoodRescue,,info@412foodrescue.org
AAT Biogas Technology,Wolfurt,,Austria,National,"AAT offers plant design, process engineering and equipment supply for sorting and anaerobic treatment of organic residue and highly polluted organic waste water including biogas handling and utilization.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,1981,http://www.aat-biogas.at/en/home/,,,,office@aat-biogas.at
Advanced Enviro Systems - BiobiN Organics Collection,Chester,PA,USA,National,"BiobiN’s patented technology keeps organic waste aerobic and odor free between hauler collections, making it the ideal, sustainable solution for commercial organics recycling.",For-Profit,Recycling,Composting; Renewable Energy from Organics (Anaerobic Digestion),Enhanced Container,,1996,http://advancedenvirosystems.com/innovations/biobin/,https://www.facebook.com/advancedenviro,https://twitter.com/advancedenviro,https://www.linkedin.com/company/1246329?trk=tyah,info@advenviro.com
AgriProtein,Cape Town,,South Africa,National,"Using fly larvae fed on abundant waste nutrient sources, AgriProtein has developed and tested a new large scale and sustainable source of natural protein. The nutrient recycling bioconversion process utilizes waste food as raw materials and generates valuable feed components: an insect based protein meal - MagMeal™, an extracted fat - MagOil™ and a nutrient rich soil conditioner - MagSoil™.",For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2009,www.agriprotein.com,https://www.facebook.com/Agriprotein,,https://www.linkedin.com/company/agriprotein-south-america,info@agriprotein.com
AgroFresh,Collegeville,PA,USA,National,AgroFresh offers unprecedented pre-and post-harvest expertise to measurably reduce fruit waste from the orchard to the consumer.,For-Profit,Prevention,Shelf-Life Extension,Ethylene Inhibitor,,1999,http://www.agrofresh.com/home,,https://twitter.com/agrofreshworld,https://www.linkedin.com/company/agrofresh,cmolino@agrofresh.com
America's Grow-A-Row,Pittstown,NJ,USA,Local,"America’s Grow-a-Row’s mission is to positively impact as many lives as possible through a volunteer effort of planting, picking, rescuing, and delivering free fresh produce. We GROW, GLEAN & GIVE℠ away free fresh produce by organizing groups to plant and harvest from our own farms and our partner farms. (See locations below.) At each visit we provide a short presentation about hunger issues and healthy eating.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2002,http://www.americasgrowarow.org/,http://www.facebook.com/pages/Americas-Grow-a-Row/138064299580796,https://twitter.com/AGARNJ,,chip@americasgrowarow.org
American Organic Energy,Westbury,NY,USA,Local,American Organic Energy is poised to transform the way food waste is disposed of across Long Island by introducing the first anaerobic digester in the N.Y. Metropolitan Region.,For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,,http://www.usbiopower.com/,https://www.facebook.com/American-Organic-Energy-413316888841416/,https://twitter.com/usbiopower,,info@usbiopower.com
Amp Your Good,Mendham,NJ,USA,National,"Amp Your Good’s crowd-feeding platform radically changes and improves how food drives work. Our goal is to change the way people think about food drives so we’ve re-imagined them using the same sharing economy principles as Uber, AirBnB and others to make a difference in the lives of those struggling with hunger.",For-Profit,Recovery,Donation Coordination,,,2014,https://ampyourgood.com/home,https://www.facebook.com/AmpYourGood/,https://twitter.com/ampyourgood?lang=en,https://www.linkedin.com/company/amp-your-good,inquiry@ampyourgood.com
AmpleHarvest.Org,Newfoundland,NJ,USA,National,"A unique nationwide resource that is utilizing the Internet to enable 42 million Americans who grow food in home/community gardens to easily donate their excess harvest to one of 7,875 registered local food pantries spread across all 50 states.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Consumer Food Recovery,,2009,http://www.ampleharvest.org/,https://www.facebook.com/AmpleHarvest.org,https://twitter.com/AmpleHarvest,,info@AmpleHarvest.org
Anaergia,Carlsbad,CA,USA,National,"Anaergia Inc. is a global leader in offering sustainable solutions for the generation of renewable energy and the conversion of waste to resources. Through a proven portfolio of proprietary technological solutions, Anaergia maximizes the generation of renewable energy, diversion of waste from landfill and reduction of greenhouse gases for customers across the municipal, industrial, commercial and agricultural sectors.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2010,www.anaergia.com,https://www.facebook.com/Anaergia-Inc-384912048292420/,https://twitter.com/anaergiainc?lang=en,https://www.linkedin.com/company/anaergia-inc-,info@anaergia.com
Ancera Inc.,Branford,CT,USA,National,"We’re helping food producers assess microbial risk from farm to consumer. This information allows food processors to make timely decisions on operations, spoilage and pathogen contamination related losses in the food industry. ",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2012,http://www.ancera.com/#ancera,,,https://www.linkedin.com/company/ancera-llc-,
Apeel Sciences,Santa Barbara,CA,USA,National,"Apeel Sciences creates edible products from natural plant extracts that allow growers to reduce reliance on pesticides, increase produce quality, and provide superior shelf life.",For-Profit,Prevention,Shelf-Life Extension,Coating/Barrier,,2012,http://apeelsciences.com/,https://www.facebook.com/apeelsciences,https://twitter.com/apeelsciences/,https://www.linkedin.com/company/apeel-sciences,info@apeelsciences.com
Aqua Botanical,,,Australia,National,"AquaBotanical is made by filtering and mineralising the aqueous liquid from juice concentrate. The end result is a clear and clean tasting water free of sugars, toxins and additives. We only add some subtle carbonation to our sparkling water.",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2012,https://aquabotanicalbeverages.com/our-story/,https://www.facebook.com/AquaBotanicalBeverages,https://twitter.com/Aqua_Botanical,https://www.linkedin.com/company/aquabotanical-beverages,
AquaPak Polymers,Birmingham,,United Kingdom,National,"With the aim to bring multi-functional plastics into a circular economy, Aquapak Polymers is a developer, manufacturer and distributor of a strong, fully biodegradable and marine safe polymer film capable of replacing standard plastics in a number of everyday applications. Aquapak Polymers has developed an Anaerobic Digestion compatible polymer. ",For-Profit,Recycling,Centralized Composting; Renewable Energy from Organics (Anaerobic Digestion),,,2016,http://www.adiltd.co.uk/aquapak/A_hold_page.htm,,https://twitter.com/aquapakpolymers/,https://www.linkedin.com/company/aquapak-polymers-ltd,info@aquapakpolymers.com
Asda Surplus Swap,Leeds,,United Kingdom,National,"Asda Surplus Swap enables suppliers to redistribute excess food to other counterparts, regardless of who the produce has been grown for. Interested suppliers can view the uploaded details and images of a product online and make contact directly to arrange the purchase.",For-Profit,Prevention,Secondary Marketplace,Business to Business,Secondary Resellers,1949,http://www.asda.com/,https://www.facebook.com/Asda,https://twitter.com/asda/,,
Aseptia,Raleigh,NC,USA,National,"Aseptia is a food technology company that is focused on advanced technologies that deliver safer, better, more nutritious foods. Founded in 2006 and partnered with N.C. State University and its team of scientists, Aseptia has developed ground-breaking technologies that enable the preservation of food products that maintain freshness, flavors, nutrients, and maintain superior taste without the use of additives or the need for refrigeration.",For-Profit,Prevention,Shelf-Life Extension,,,2006,http://aseptia.com/,,,,
Back to the Roots,Oakland,CA,USA,National,"We're on a mission to Undo Food™ and connect families back to where it comes from. Whether you're growing your own food or buying it at the grocery store, we believe the trust and transparency behind each product should be the same. Features products that use spent coffee grounds and compost. ",For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,2009,https://backtotheroots.com/,https://www.facebook.com/backtotheroots,https://twitter.com/backtotheroots,,contact@backtotheroots.com
Baldor,Bronx,NY,USA,Local,"We are one of the largest importers and distributors of fresh produce and specialty foods in Northeast and Mid-Atlantic regions. In 2017, Baldor announced it has completed its strategy to divert all food material generated at its facilities from the landfill. Strategies include converting produce cuts and other food scraps into a juice (through Misfit Juicery), as well as creating a flour product. ",For-Profit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,1991,https://www.baldorfood.com/,https://www.facebook.com/Baldor-Specialty-Foods-456574300031/,https://twitter.com/BaldorFood,https://www.linkedin.com/company-beta/573095?pathWildcard=573095,info@baldorfood.com
